,GDP,GDP Defl,Interest rates,Investment,Stock,Spread 1,Spread 2,Credit/Real Estate Ratio,US HOME MORTGAGES - FIXED 30YR - EFFECTIVE INTEREST RATE,CPI index,PCE index,employment,industrial production,1-year Treasury constant maturity rate,DJIA
DATE,ROUTPUT13Q3,P,TB3MS,GPDIC96,Real SP500,Baa-FedFud,Baa-10y,Credit/Real Estate Ratio,Mortgages rates,,,,IP,,
1994:Q3,9.248348812,4.256435067,4.62,7.293017,1.439570113,4.25,1.36,-0.052115317,8.82,5.006,4.258,11.726,4.269,5.96,1.935
1994:Q4,9.259739874,4.262003592,5.60,7.333334077,1.444794708,3.65,1.26,-0.034456954,9.18,5.011,4.263,11.734,4.294,7.20,1.935
1995:Q1,9.26327432,4.267681433,5.73,7.343780629,1.441913135,2.72,1.5,-0.031255352,8.38,5.019,4.268,11.736,4.296,6.49,1.939
1995:Q2,9.26625746,4.272574426,5.47,7.322791768,1.461321211,1.9,1.69,-0.014863027,7.53,5.027,4.273,11.732,4.302,5.65,1.959
1995:Q3,9.274732007,4.277041049,5.28,7.316813258,1.480371251,2.13,1.76,-0.012195793,7.62,5.031,4.278,11.737,4.315,5.65,1.975
1995:Q4,9.281497566,4.281750394,5.14,7.341344504,1.486684273,1.89,1.91,-0.010003463,7.11,5.036,4.282,11.737,4.320,5.18,1.985
1996:Q1,9.288957449,4.286341385,4.96,7.357275549,1.505999973,2.72,1.69,-0.00117207,7.69,5.047,4.289,11.743,4.328,5.41,2.003
1996:Q2,9.305495994,4.290418344,5.09,7.404207296,1.511127059,3.13,1.67,0.000355089,8.29,5.054,4.294,11.749,4.352,5.70,2.012
1996:Q3,9.314430081,4.295269771,5.09,7.448630846,1.504303663,3.05,1.63,0.010843683,8.16,5.061,4.299,11.756,4.364,5.71,2.011
1996:Q4,9.32475775,4.299487062,4.91,7.447311207,1.525433293,2.6,1.46,0.00726829,7.64,5.070,4.305,11.759,4.378,5.51,2.030
1997:Q1,9.331194243,4.303956979,5.14,7.467301922,1.5490769,2.79,1.26,0.011133406,7.97,5.074,4.310,11.767,4.399,6.02,2.050
1997:Q2,9.34767328,4.308931611,4.93,7.526693867,1.551726955,2.46,1.51,0.017919367,7.58,5.076,4.312,11.771,4.410,5.67,2.055
1997:Q3,9.360104301,4.311885783,4.95,7.54059763,1.591175637,2.16,1.58,0.019790243,7.28,5.083,4.315,11.775,4.436,5.47,2.080
1997:Q4,9.368659495,4.31545939,5.16,7.555407062,1.580019196,1.82,1.57,0.020761482,6.99,5.086,4.317,11.780,4.457,5.51,2.078
1998:Q1,9.378605262,4.316474266,5.03,7.598085997,1.595709327,1.83,1.65,0.016954002,7.08,5.088,4.317,11.782,4.464,5.41,2.084
1998:Q2,9.387816877,4.319073523,4.98,7.591890978,1.62388776,1.57,1.69,0.023025404,6.96,5.093,4.319,11.785,4.468,5.38,2.108
1998:Q3,9.400266276,4.322939892,4.61,7.617275192,1.624283977,1.58,2.65,0.015393123,6.64,5.097,4.322,11.790,4.482,4.41,2.096
1998:Q4,9.416297072,4.325628226,4.39,7.647671535,1.618691036,2.55,2.58,0.018533937,6.83,5.102,4.325,11.795,4.494,4.53,2.093
1999:Q1,9.425717845,4.328876354,4.44,7.674760543,1.652700027,2.72,2.28,0.022253341,6.98,5.105,4.327,11.798,4.505,4.72,2.112
1999:Q2,9.433379918,4.33323022,4.57,7.675384505,1.660844457,3.26,2.21,0.028623998,7.63,5.112,4.333,11.801,4.513,5.07,2.137
1999:Q3,9.446392251,4.336924661,4.68,7.702453579,1.658311341,2.98,2.3,0.024840559,7.76,5.123,4.341,11.803,4.519,5.22,2.145
1999:Q4,9.463244647,4.342024616,5.20,7.728897618,1.662218138,2.89,1.74,0.02298063,8.06,5.129,4.345,11.809,4.545,5.98,2.137
2000:Q1,9.466856802,4.348844652,5.69,7.72184007,1.664870351,2.52,2.34,0.016856899,8.23,5.142,4.356,11.826,4.552,6.28,2.137
2000:Q2,9.484997993,4.354668285,5.69,7.779355292,1.671997227,1.95,2.45,0.007845198,8.22,5.149,4.359,11.827,4.562,6.08,2.131
2000:Q3,9.486334405,4.360739156,6.00,7.769494361,1.666233571,1.83,2.55,-0.006982696,7.88,5.157,4.365,11.827,4.561,6.07,2.130
2000:Q4,9.49254497,4.366011575,5.77,7.771408234,1.663992394,1.62,2.9,-0.028304807,7.13,5.162,4.369,11.832,4.556,5.32,2.123
2001:Q1,9.489690329,4.372380258,4.42,7.724977658,1.6511943,2.53,2.91,-0.067580107,6.91,5.171,4.375,11.833,4.540,4.09,2.121
2001:Q2,9.495519314,4.379022126,3.49,7.726403634,1.62832398,4,2.55,-0.064877449,7.11,5.180,4.382,11.827,4.525,3.72,2.115
2001:Q3,9.491360302,4.382151627,2.64,7.704527971,1.620069832,4.96,3.43,-0.067990699,6.72,5.182,4.378,11.827,4.514,2.49,2.110
2001:Q4,9.494082192,4.385570348,1.69,7.653732073,1.588349078,6.23,2.98,-0.082618925,7.16,5.178,4.380,11.821,4.505,2.17,2.085
2002:Q1,9.50278608,4.388294451,1.79,7.6828082,1.602024214,6.38,2.69,-0.087809074,7.18,5.185,4.385,11.822,4.520,2.70,2.099
2002:Q2,9.508828844,4.392372927,1.70,7.699106176,1.589542643,6.2,3.09,-0.100344314,6.55,5.191,4.391,11.823,4.537,2.06,2.100
2002:Q3,9.513263212,4.396631956,1.63,7.697624824,1.550100669,5.65,3.77,-0.107047935,5.99,5.197,4.397,11.830,4.537,1.53,2.065
2002:Q4,9.514805812,4.402356084,1.19,7.697007324,1.541549266,6.21,3.62,-0.116526659,5.93,5.203,4.401,11.824,4.534,1.32,2.050
2003:Q1,9.520343955,4.407292254,1.13,7.704669957,1.531988203,5.7,3.12,-0.124892064,5.91,5.214,4.409,11.831,4.540,1.19,2.045
2003:Q2,9.528903188,4.410213137,0.92,7.711547637,1.546640868,4.97,2.65,-0.121550873,5.24,5.210,4.407,11.833,4.535,1.09,2.051
2003:Q3,9.545747756,4.415678989,0.94,7.747337306,1.562164486,5.78,2.83,-0.128398584,5.98,5.221,4.416,11.832,4.544,1.15,2.068
2003:Q4,9.557158901,4.42119927,0.90,7.780471064,1.573605967,5.62,2.33,-0.133999612,5.85,5.223,4.420,11.838,4.552,1.26,2.076
2004:Q1,9.562482056,4.428719363,0.94,7.782453303,1.587585332,5.11,2.25,-0.153226652,5.40,5.232,4.428,11.838,4.556,1.20,2.090
2004:Q2,9.570075628,4.436929033,1.27,7.821621073,1.579850426,5.75,2.16,-0.16514238,6.25,5.241,4.436,11.843,4.560,2.09,2.081
2004:Q3,9.579487217,4.44335689,1.65,7.837015542,1.576426907,4.66,2.13,-0.181854852,5.72,5.246,4.439,11.846,4.569,2.21,2.077
2004:Q4,9.58945466,4.451016173,2.19,7.857665296,1.579448109,3.99,1.91,-0.192419274,5.81,5.256,4.448,11.850,4.588,2.75,2.075
2005:Q1,9.600461697,4.458617237,2.74,7.885390562,1.586667668,3.43,1.56,-0.205159558,6.04,5.263,4.455,11.854,4.598,3.35,2.081
2005:Q2,9.60506804,4.465643716,2.97,7.871995059,1.579493211,2.82,1.92,-0.212675056,5.53,5.266,4.458,11.862,4.605,3.45,2.071
2005:Q3,9.613943748,4.474993161,3.42,7.885125306,1.590653073,2.41,1.69,-0.223282943,5.91,5.292,4.476,11.866,4.586,4.01,2.069
2005:Q4,9.620235652,4.482878251,3.89,7.917115865,1.58288886,2.16,1.93,-0.233856602,6.22,5.289,4.476,11.869,4.615,4.38,2.067
2006:Q1,9.633448915,4.489770558,4.51,7.93185341,1.593551739,1.82,1.55,-0.206621205,6.35,5.297,4.483,11.876,4.618,4.82,2.071
2006:Q2,9.635784562,4.498085963,4.79,7.925384529,1.595845325,1.79,1.63,-0.199064131,6.78,5.307,4.492,11.880,4.625,5.21,2.074
2006:Q3,9.637332111,4.505405098,4.81,7.921518941,1.587427255,1.18,1.79,-0.190491219,6.31,5.312,4.496,11.883,4.626,4.91,2.068
2006:Q4,9.645810785,4.509154758,4.85,7.901927739,1.603038078,0.98,1.51,-0.170638534,6.18,5.314,4.497,11.891,4.635,5.00,2.082
2007:Q1,9.648162951,4.519361722,4.94,7.895023631,1.608894324,1.01,1.62,-0.145721717,6.16,5.324,4.508,11.894,4.642,4.90,2.087
2007:Q2,9.653878099,4.525466587,4.61,7.905992751,1.613402131,1.45,1.67,-0.118151201,6.67,5.334,4.515,11.892,4.650,4.91,2.092
2007:Q3,9.65929272,4.529638123,3.89,7.89584784,1.607843676,1.65,2,-0.089984892,6.42,5.340,4.521,11.893,4.655,4.05,2.099
2007:Q4,9.665357259,4.534211097,3.00,7.883467462,1.620041496,2.41,2.61,-0.054982554,6.17,5.354,4.531,11.893,4.657,3.34,2.098
2008:Q1,9.659592674,4.538699132,1.26,7.856804736,1.592699874,4.28,3.44,-0.007311061,5.85,5.363,4.539,11.892,4.649,1.55,2.082
2008:Q2,9.664741665,4.542603054,1.86,7.838502215,1.592452327,5.07,3.08,0.025426197,6.45,5.382,4.553,11.890,4.633,2.36,2.077
2008:Q3,9.659311868,4.550228138,1.13,7.81824884,1.570186716,5.5,3.46,0.055245639,6.09,5.389,4.557,11.885,4.568,1.78,2.057
2008:Q4,9.6374365,4.552781555,0.03,7.717102465,1.510287807,8.27,6.18,0.070277094,5.10,5.354,4.534,11.873,4.535,0.37,2.014
2009:Q1,9.626145174,4.553445219,0.21,7.594303232,1.475026307,8.24,5.71,0.090924072,4.85,5.359,4.536,11.854,4.489,0.57,1.980
2009:Q2,9.624705755,4.552359952,0.18,7.534915957,1.487517417,7.29,3.97,0.119581425,5.42,5.370,4.544,11.849,4.467,0.56,1.972
2009:Q3,9.628339928,4.552950147,0.12,7.532630578,1.514435946,6.16,3,0.134067334,5.04,5.375,4.549,11.841,4.496,0.40,1.997
2009:Q4,9.639268068,4.556704469,0.05,7.621065806,1.523756967,6.25,2.52,0.135181552,5.14,5.381,4.556,11.835,4.507,0.47,2.019
2010:Q1,9.643102827,4.559032002,0.15,7.64356484,1.53081273,6.11,2.43,0.135314886,4.99,5.382,4.559,11.840,4.528,0.41,2.028
