0.2847,4.1571,7.6605,5.3826,1.5414,-26.705,4.2169,12.819,10.631,-7.565,0.1,3.4057,5.4,-9.9463,0.26363,36.825,3.7333,-0.54052,-0.62869,-0.73809,NaN,-16.705,5.3704,4.429,-43.798,-73.693,1.4735,1.0019,-14.048,5.2801,7.8633,7.7841,NaN,80.499,0.039861,-0.40869,-3.0009,1.9281,-3.3109,-7.0723,2.8141,-2.1195,2.504,2.932,-1.8554,1.0702,2.2159,2.649,-14.013,1.8239,2.529,3.0594,4.8811,0,1.9797,4.0687,0.63557,0.0333,5.2667,0.34655,-0.16403,0.7667,0.2667,-0.1333,26.26,67.447,12.019,-83.653,NaN,NaN,NaN,NaN,14.993,-3.7329,NaN,-1.1674,40.367,NaN,-0.0667,1655,-6.4999,-47.505,NaN,-2.21,-24.028,6.6925,-16.727,-6.2486,3.2647,-37.293,NaN,-2.2955,NaN,NaN,2.3948,0.0013538,1.7065,-0.0013298,0.002895,0.0019286,-0.0039946,0.0019334,0.0039803,0.0019618,-0.0081267,-0.003402,0.0051345,-0.0011158,0.0079309,0.0014378,-0.0085868,0.0043874,-0.001469,0.00040339,-0.00085039,-0.00040888,-0.0034298,0.0068774,0.013504,2.0606,-0.0011348,-0.004012,-1.2612,-0.0010015,0.0018336,-0.0032841,-0.0064985,NaN,-4.6297,-2.6679,NaN,4.2513,-3.3066,NaN,0.27895,3.0908,NaN,0.53709,2.9922,2.1595,NaN,1.8098,1.3053,3.5767,3.54,4.13,4.6033,4.5033,NaN,0.12,0.1634,0.6133,NaN,0.59,1.06,0.96,0.65,-0.79414,NaN,0.77074,3.3529,3.4012,15.311,16.81,12.535,6.8482,NaN,12.535,NaN,0.93137,9.9813,10.522,0.02975,525,-0.24999,4.7923,-0.31077,NaN,NaN,NaN,NaN,NaN,NaN,-0.24087,0.096031,-0.88212,-3.0891,NaN,NaN,0.4,0.1,NaN,NaN,-16.259,13.122,-8.4633,-0.9333,-0.2666,0.0074962,0.011133,0.36,-0.0367,1.1067,0.8967,-0.02031,-0.013231,0.0029397,-0.003437,-8.7348e-05,0.0030015,-0.0026235,0.0013496,-0.0011844,0.0054024,0.0056021,-0.010878,0.027733,0.028334,-0.0007477,-0.0171,36.938,6.3697,0.0516,0.0041,0.59,0.62,NaN,NaN,NaN,NaN,39.816,NaN,NaN,0,0.0088,2.6846,3.9076,-21.25,10.222,2.756e+05,-0.060373,-1.7919,-38.28,7.5951,8.4197,9.4563,-0.0292,-7.0182
1.1385,0.45025,-19.582,4.8179,2.456,12.811,-4.6666,-0.81065,-1.1177,-11.487,0.8,-3.2843,-3.9,1.2438,-2.0267,-20.299,-10.301,2.8389,-1.1902,0.16157,NaN,1.909,-4.4178,-4.1112,9.407,16.159,-3.9268,-21.201,-62.347,2.1533,-8.6128,8.4562,NaN,80.076,1.4869,0.80522,-0.41689,2.981,-1.1956,-0.75725,0.062776,-5.4143,4.9614,3.0718,-0.38764,3.0106,2.439,4.7719,0,1.2597,5.2354,1.9678,2.0717,6.0723,4.1081,5.1711,0.32254,0.0333,5.6,0.32465,-0.018279,0.2333,0.3333,0.2,28.308,20.872,43.614,-9.0977,NaN,NaN,NaN,NaN,24.401,-0.3533,NaN,0.068766,40.1,NaN,-0.1666,1572,-13.051,-19.113,NaN,-21.627,6.9381,-8.253,-25.341,-5.6116,-7.4525,2.5124,NaN,5.1032,NaN,NaN,2.1848,-0.00094752,1.5539,-0.0013171,-0.0001148,-0.00049992,-0.00026248,-0.00068824,-0.00051963,0.00019138,0.00039586,-0.0012501,0.00016654,-0.00054117,-0.0031756,-0.0022987,0.022827,-0.0066467,0.0012365,0.0089143,-0.0026927,-0.0037935,-0.0041554,0.0059003,-0.0040806,2.4138,0.0021746,-0.0020242,-1.6886,-0.0050166,-0.0019991,0.0021845,0.0032438,NaN,-6.2566,-2.2931,NaN,3.4746,-1.6563,NaN,1.4227,2.8741,NaN,-1.2584,0.52265,4.7595,NaN,5.0926,-3.5493,3.99,4.23,4.64,4.9167,4.5833,NaN,0.0967,0.1566,0.69,NaN,0.41,0.69,0.35,0.53,-3.5928,NaN,-6.0126,-1.0267,-0.37039,6.0001,14.473,12.742,6.2489,NaN,12.742,NaN,5.0463,11.09,8.2507,4.4318,527.1,5.4186,3.8343,6.1863,NaN,NaN,NaN,NaN,NaN,NaN,1.6646,0.33593,-0.82698,-1.9745,93.8,NaN,-0.2,-0.1,NaN,NaN,1.4342,9.524,6.3263,-0.8667,-0.2334,0.0013374,0.014378,0.1434,0.24,0.8367,0.58,0.0083584,0.034274,-0.0044493,-0.0011503,-0.0016144,0.00098554,-0.0017377,-9.9408e-05,-3.5841e-05,-0.003259,-0.0033801,0.0030758,-0.050167,-0.02326,0.01258,-0.0487,50.324,1.533,0.0035,0.0032,0.57,0.77,NaN,NaN,NaN,NaN,32.802,NaN,NaN,14.681,0.0086,2.6667,0.091588,-134.77,-6.1184,2.5541e+05,-0.91709,-0.034616,-95.22,24.312,-6.6388,-6.6519,0.0852,-24.639
8.8897,3.8085,12.667,3.617,1.0025,38.315,13.142,13.68,13.666,12.122,2.1,-6.8809,-14.2,35.016,6.5958,48.489,14.875,4.5904,11.723,9.8472,NaN,23.418,14.643,15.279,37.323,58.522,11.254,49.02,119.38,3.0569,18.338,2.126,NaN,84.472,5.1171,5.3483,9.6839,4.0829,6.977,15.08,1.962,-6.381,4.9926,3.4211,5.9283,5.2687,4.7176,4.95,4.6125,3.204,3.8503,4.3141,1.5605,4.9259,1.4191,4.0952,1.7581,-0.4333,5.1333,-0.40558,-0.027543,-0.9667,-0.4333,-0.3333,-33.761,-49.344,-3.7478,-16.736,NaN,NaN,NaN,NaN,-39.982,-1.0476,NaN,2.5057,40.3,NaN,0.1666,1942,-28.435,-3.7209,NaN,-32.05,-37.12,-30.868,-15.461,15.274,6.6443,-3.519,NaN,-24.234,NaN,NaN,0.51378,-0.0025798,0.75049,-0.00073805,-0.0003655,-0.0040769,-0.0010336,-0.0043317,-0.0051362,-0.0029566,-0.0071968,0.0031366,0.0041198,0.0030417,-0.0013465,0.00015086,-0.03381,-0.0023752,-0.0030046,-0.010388,0.0013654,-0.0058649,0.0029817,0.0025517,-0.0073006,0.36347,-0.0022197,0.0090639,1.6886,0.012036,0.024142,-0.0010957,-0.0021632,NaN,-1.2581,-1.2574,NaN,6.9741,8.8564,NaN,8.0763,10.088,NaN,9.2175,10.884,-0.43996,NaN,-0.77511,2.6461,3.9333,3.8733,4.2167,4.57,4.4867,NaN,-0.0167,0.0367,0.8233,NaN,0.34,0.7,0.61,0.81,-0.20065,NaN,-1.4263,1.7359,2.2172,9.0313,9.6773,8.4873,5.9896,NaN,8.4873,NaN,0.43132,0.54181,-4.0483,0.42013,521.63,-2.1049,8.5934,-2.613,NaN,NaN,NaN,NaN,NaN,NaN,-0.055375,0.33653,0.071358,0.92544,100,NaN,0.4,0,NaN,NaN,25.406,3.0142,0.45868,0.1667,0.0334,-0.024767,-0.022215,-0.1867,-0.06,0.7067,0.62,0.011951,-0.0094971,0.00072834,-0.009992,0.0029732,-0.0049816,-0.0017306,-0.0028919,-2.8661e-05,-0.0010806,-0.0022312,0.018079,-0.025251,-0.018193,-0.014147,0.1397,-35.485,10.229,-0.0069,0.0012,-0.07,0.75,NaN,NaN,NaN,NaN,20.319,NaN,NaN,0,0.009,1.3267,1.0646,119.6,15.061,2.7916e+05,3.6732,1.7231,86.68,-20.501,-10.429,-11.958,0.2278,-22.949
-2.1634,5.0141,9.0003,4.4012,4.3583,-39.135,-7.3367,6.6844,5.8012,-34.169,0.6,4.4663,0.9,-7.1905,9.8389,11.313,2.988,2.5789,-5.5999,-4.5743,NaN,-8.775,0,2.1359,-20.218,-33.372,-3.6896,-6.5783,-8.9323,5.2943,-3.7465,8.2377,NaN,81.318,0.96672,0.44875,-3.9551,3.0578,-2.8079,-6.6239,-0.10412,3.0703,3.5674,2.9697,-1.0714,2.1241,4.3944,3.4986,-2.385,2.8808,3.7978,3.7584,1.4846,3.3793,4.84,3.6708,5.1679,0.6667,5.2333,0.13049,-0.065127,-0.2,0.0333,0.0666,36.778,7.3101,-14.751,-37.046,NaN,NaN,NaN,NaN,46.846,3.9215,NaN,0.6524,40,NaN,-0.4,1816,-26.917,-1.6054,-14.155,-16.382,-28.885,-25.872,-37.14,-8.9607,6.3766,-3.4863,NaN,-21.744,NaN,NaN,2.0972,0.00064886,1.4245,0.00020255,-0.00091478,0.006406,0.0002786,0.00099875,0.008514,0.00067612,0.0015145,-0.00027112,-0.00075165,-0.0011846,0.014913,0.0029788,0.011708,-0.0027156,-0.00053035,0.017729,-0.0044178,-0.0017581,-0.0065331,-0.0033112,0.0030687,2.3958,-0.0021973,0.00097229,0.84038,0.0019511,0.0035626,-0.0032709,-0.0010827,NaN,-1.518,-1.5178,NaN,0.51797,-0.89367,NaN,0.2193,-4.0522,NaN,-6.2549,-8.489,6.8434,NaN,8.8684,-14.111,3.6967,2.9933,3.29,3.87,4.26,NaN,-0.1,-0.0633,0.9867,NaN,0.3,0.88,1.27,1.08,-2.3134,NaN,-3.235,0.79963,0.42287,9.4797,6.9462,9.6837,0.13278,NaN,9.6837,NaN,2.9175,11.483,8.9037,2.0282,520.91,3.2207,1.9526,3.3437,NaN,NaN,NaN,NaN,NaN,NaN,-0.71132,0.14476,0.44214,9.3438,93.3,NaN,0.2,0,NaN,NaN,-10.582,7.7636,8.1728,-1.0667,-0.1334,0.011497,0.020287,-0.34,-0.7033,0.6033,0.7567,0.0054507,-0.021598,0.0021858,-2.3139e-05,-0.0016113,0.0049697,-0.0060921,-4.906e-05,-0.0056477,0.0031988,0.0033232,-0.019677,0.041375,0.014618,0.0079909,-0.0499,37.125,5.5856,0.0413,0.0022,-0.62,0.38,-35.709,-0.57359,-16.164,-7.7673,28.216,NaN,NaN,3.5875,0.009,2.6403,0.095603,-32.9,7.3283,2.8014e+05,1.2226,0.15001,-22.94,5.9129,-1.4719,-2.7111,0.0876,-9.7394
1.9523,-1.602,-3.212,-0.4695,-2.3519,-1.0176,-8.6662,-17.653,-7.0625,-12.116,0.8,9.6643,12.9,-4.0734,5.8772,8.6244,-11.949,0.76158,0.13808,1.5911,NaN,-6.6316,-5.234,-4.7448,-8.5403,-11.507,-5.2308,-15.783,-14.196,-0.6015,-12.646,5.0836,NaN,78.899,-2.0365,-2.4409,-5.1036,-0.39043,-5.0472,-6.7798,-2.7167,-4.0094,2.6774,3.0002,-3.5405,0.46652,-1.6904,2.777,-7.9381,-2.1018,0.15746,-1.9522,0.89708,-11.472,6.3349,4.1627,-0.22814,0,5.5333,0.29748,0.02682,0.3334,0.4333,0.2,-4.5723,49.154,61.961,19.265,NaN,NaN,NaN,NaN,19.865,-0.58999,NaN,-2.2728,39.667,NaN,-0.0666,1681,-18.163,-5.9421,-6.5302,-12.515,-12.679,-23.181,-20.403,-2.9365,-5.6345,6.1716,NaN,-7.7324,NaN,NaN,1.4809,0.00010176,1.7315,-0.0017132,-0.00085827,-0.0035453,-0.0018652,0.00098242,-0.0041311,0.00039605,-0.002217,-0.0015269,-0.0023619,-0.0006413,-0.013497,-0.0015691,0.021032,6.0159e-05,0.0016098,-0.0069838,0.0038315,0.0032566,0.00090153,0.00092943,0.00013085,0.22582,-0.0032641,-0.0050095,-1.2625,-0.005986,-0.016154,-1.4898e-06,2.0733e-06,NaN,-1.5587,-1.5584,NaN,4.9789,0.30469,NaN,2.1789,-0.57885,NaN,2.4099,2.1747,-2.5352,NaN,0,4.5277,2.9367,2.36,2.71,3.0733,3.8333,NaN,-0.14,-0.1434,1.27,NaN,0.35,0.71,1.47,1.01,1.9121,NaN,3.4871,6.8427,6.0754,2.8419,8.3946,5.2978,-1.0546,NaN,5.2978,NaN,-1.5622,6.8962,6.1348,-2.4608,516.73,-3.111,3.332,-3.6103,NaN,NaN,NaN,NaN,NaN,NaN,-1.4636,-1.8715,0.61248,-0.32851,97.2,NaN,0.1,-0.1,NaN,NaN,-7.4221,6.0088,2.8366,0.4334,-0.2666,0.024952,0.022888,-0.6267,-0.5767,0.7367,1.3767,-0.02521,0.0048776,-0.0014825,0.001104,-0.0030633,-0.0049667,0.002584,-5.2524e-05,0.0033727,-0.0042814,-0.0022249,0.005902,-0.014738,0.0076209,0.053934,-0.0654,44.612,2.6943,0.0275,0.0015,-0.7,0.44,28.185,-13.422,-33.931,0.92171,32.173,NaN,NaN,3.5556,0.0087,1.3136,3.036,-64.52,7.5216,2.7516e+05,3.1807,2.4067,-47.83,14.697,-2.5047,-4.9141,0.0276,0.54762
-5.167,0.51775,-10.18,3.8498,0.27613,-46.964,-0.79955,-14.308,-0.94083,-0.43358,-1.1,2.7641,1.6,-8.4209,4.6209,2.1248,-19.327,-0.1657,-9.0289,-7.7419,NaN,-9.7601,-4.5202,-2.626,-17.153,-26.752,-8.1867,-10.823,-12.339,0.30036,-11.06,2.6745,NaN,75.852,-2.3656,-3.412,-7.1167,0.27675,-7.2729,-9.6163,-3.6018,-8.1414,2.5248,1.9355,-4.9787,-0.21525,-0.34664,2.4141,-7.0331,-2.0287,3.2456,-1.0693,-1.5962,2.7157,3.8557,3.3108,-1.1163,0.0666,6.2667,0.51691,0.18429,1.1666,0.6,0.7667,33.907,44.45,77.026,107.64,NaN,NaN,NaN,NaN,28.779,-4.5666,NaN,-3.7375,39.133,NaN,-0.2,1524,-9.2316,54.839,-10.206,-40.583,66.326,-42.958,8.1084,-5.0741,-1.0879,-23.738,NaN,-10.856,NaN,NaN,1.765,-0.00061089,1.7479,-0.00097973,0.00064923,0.0023182,0.0013138,-0.001298,0.0026321,-0.0019027,0.0039548,-6.2168e-05,-0.0026527,-0.00087635,0.010778,-0.0018401,-0.018504,0.00078217,-0.0009743,-0.0092255,0.0026286,-0.0030438,-0.0013708,-0.00073534,-0.0021505,2.5602,0.0065206,0.0059603,0.84253,0.0059045,0.018565,0.0010867,-0.0010873,NaN,-1.3134,-1.313,NaN,2.1633,-0.073002,NaN,-0.80534,1.236,NaN,-5.2991,-3.1754,6.9762,NaN,7.0321,-9.8976,2.2967,2.3067,2.63,2.9933,3.8867,NaN,0.0067,-0.0066,1.21,NaN,0.32,0.69,1.58,0.96,0.10029,NaN,-2.7816,3.2311,3.3298,2.5054,6.4927,4.2278,1.2754,NaN,4.2278,NaN,8.9543,8.5669,8.7327,8.9959,528.7,11.777,-0.025551,13.11,NaN,NaN,NaN,NaN,NaN,NaN,-0.29707,0.52737,0.071158,2.2939,90.1,NaN,0,-0.2,NaN,NaN,-11.237,4.6458,-2.0877,0.7,-0.5667,0.0086762,0.0060228,0.0734,0.01,1.45,2.0233,0.025285,-0.020643,-0.0014621,-1.1311e-05,0.0014499,0.0079179,-1.657e-05,-0.0014149,-0.0022521,0.005305,0.003294,-0.0059816,-0.03561,-0.027823,0.022888,-0.0853,30.041,-1.5753,0.0035,0.0014,-0.1,0.97,-41.301,11.12,7.4122,-22.241,45.011,NaN,NaN,7.0177,0.0089,0,-2.852,-15.72,-2.0385,2.7374e+05,1.5374,2.176,8.2,0.040459,-2.7857,-2.6278,0.0257,0.31849
2.691,-0.14874,-22.616,3.9193,2.3805,10.249,-3.4091,-13.238,-5.7488,1.5762,-0.5,5.8958,1.3,-0.29021,12.708,-2.7598,-1.9498,3.7607,2.861,2.2832,NaN,-6.1025,-5.8416,-6.0898,-8.2757,-18.12,3.3206,-30.318,-84.753,1.5014,-6.3465,4.522,NaN,73.828,-2.3449,-3.2222,-7.3446,-0.041691,-6.6989,-11.285,-1.9088,-2.1534,2.6876,1.7704,-4.7245,-0.035893,-0.5784,2.5136,-11.517,-2.3899,2.289,-1.3743,-1.8737,-0.6772,4.7468,2.968,-0.61814,0,6.8,0.36974,0.15222,1.4667,0.4334,0.5,13.933,22.939,63.476,71.929,NaN,NaN,NaN,NaN,33.179,-2.1886,NaN,-2.2609,39.4,NaN,-0.0667,1461,18.255,34.092,3.8409,45.995,-79.42,57.028,12.295,-7.0379,-3.1257,-13.042,NaN,-6.4523,NaN,NaN,0.74719,-0.0015921,0.47755,-0.0001654,-0.00030437,-0.0025122,0.0019025,-0.002532,-0.004138,-0.003191,0.005551,-0.0014777,-0.00084041,0.00094371,-0.0072994,-0.0014257,-0.0032297,0.00017907,-0.0015482,-0.012823,-0.00021908,0.0045574,0.0036955,-0.010743,-0.0051631,0.8051,-0.0032706,-0.0079494,1.2598,-0.0098522,-0.029687,0.0032862,0.0010838,NaN,-0.67873,-0.68028,NaN,3.7468,-0.061593,NaN,2.6956,2.9477,NaN,5.13,4.4771,-0.71961,NaN,-1.6159,4.1973,2.0033,2.35,2.5367,2.8733,3.7867,NaN,-0.05,-0.0334,1.2767,NaN,0.19,0.52,1.44,0.66,0.70222,NaN,1.1824,6.0455,6.0402,1.6317,10.651,3.5542,2.6312,NaN,3.5542,NaN,8.0816,0.68293,-3.078,8.8682,535.5,11.108,-1.8476,12.487,NaN,NaN,NaN,NaN,NaN,NaN,0.83496,-0.57551,-1.3684,4.3872,91.6,NaN,0,0,NaN,NaN,-6.9625,3.9629,7.1145,0.5333,0.3667,-0.023731,-0.032004,-0.1034,0.3467,1.64,2.2667,-2.7076e-05,-0.018746,-0.00072839,0.0078605,-5.4893e-05,-0.0069263,0.00439,-3.4319e-05,0.0033559,-0.0031999,-0.003311,0.0029827,-0.02976,-0.019502,-0.020526,-0.0416,22.661,-5.6974,-0.0035,0.0001,-0.26,1.01,-15.015,13.06,-0.98029,13.398,64.665,NaN,NaN,-3.4935,0.009,1.3093,1.4179,62.71,15.21,2.9155e+05,3.68,1.5978,45.35,-10,45.525,44.537,-0.3889,51.594
6.7329,5.9089,8.2135,5.7789,5.3198,27.089,6.5058,18.703,8.8225,1.5964,0.3,0.9999,3.6,7.5419,-2.7213,-19.065,4.8475,6.0307,9.4676,8.1041,NaN,15.551,10.362,14.675,23.226,32.043,16.118,40.154,72.37,6.8322,4.0373,4.1649,NaN,76.354,1.2188,0.8043,2.4394,1.0674,1.5072,3.8178,0.55236,-2.3498,2.5809,2.1245,-0.15843,1.969,-0.57923,2.7242,-2.1968,-1.1882,3.386,-1.8486,-0.70867,2.8702,4.9409,3.1171,-0.80806,-0.1666,7,-0.078269,0.27851,-0.9333,0.2,0.4333,-33.599,-7.5946,24.25,103.45,NaN,NaN,NaN,NaN,-23.932,-4.6159,NaN,-0.92192,39.733,NaN,0.1333,1526,5.8691,12.863,22.431,-45.493,72.818,20.364,-16.329,6.077,0.16317,31.936,NaN,2.9665,NaN,NaN,-0.048164,0.0015931,0.78672,0.0020845,-0.00085203,-0.005348,0.0045543,0.0017435,-0.008475,0.0018369,0.01129,0.0014358,0.00027436,-0.0035425,-0.0099459,-0.0025792,-0.026331,-0.00078188,0.0027637,-0.0010986,0.0012789,-0.0046939,0.00059242,0.0024416,0.0040539,-0.13407,0.0010757,-0.0079672,-4.2146,-0.0099167,-0.016148,-0.0054734,-0.0021785,NaN,1.6596,-1.3126,NaN,5.4721,4.2013,NaN,5.6769,8.8687,NaN,10.396,12.715,-3.9812,NaN,-4.8519,11.498,1.7333,2.3033,2.4867,2.9367,3.79,NaN,0.0133,-0.0466,1.2267,NaN,0.18,0.63,1.49,0.56,0.70069,NaN,3.0525,7.4398,6.5315,1.0922,1.4876,-3.1874,2.1968,NaN,-3.1874,NaN,3.5411,9.5453,3.5145,2.904,531.33,2.6063,6.6425,2.7798,NaN,NaN,NaN,NaN,NaN,NaN,0.80547,2.8828,-1.0437,1.5725,92.5,NaN,-0.3,-0.1,NaN,NaN,16.636,9.1998,-10.568,1.9667,0.1666,-0.0078419,-0.0088098,-0.0266,0.57,1.8833,2.55,-0.023197,0.058855,-0.0021752,0.0022049,-5.8468e-05,0,0.0035141,-0.0013881,-0.0033622,-0.0031696,-0.0021965,0.004279,0.01284,-7.876e-06,-0.021105,0.0043,-43.897,-1.7465,-0.0344,-0.0026,-0.15,1.13,64.461,-35.618,33.863,28.162,38.365,NaN,NaN,3.4935,0.0086,1.3051,4.1942,-104.1,7.3856,2.8015e+05,3.8954,3.2498,-77.69,23.331,24.886,25.06,-0.1968,34.182
7.6058,1.9405,9.6476,1.2193,0.31579,29.947,9.4945,5.4098,3.8928,21.255,1.2,8.4534,12.6,6.8953,3.315,17.683,25.651,5.2858,9.0926,8.3406,NaN,12.563,7.5233,7.6632,18.953,29.517,11.24,12.962,7.0977,5.4131,7.8002,6.9967,NaN,78.414,3.5016,3.2832,4.1272,3.3765,3.7397,6.1919,1.2718,2.166,4.9811,2.8323,3.3143,4.4038,2.4656,4.9466,2.0142,1.8414,4.638,2.1818,2.2223,4.6275,4.4693,4.7009,0.37581,-0.2667,6.7667,-0.29583,0.071475,1.2,-0.2667,-0.4333,2.3249,-22.896,-12.469,22.09,NaN,NaN,NaN,NaN,-23.399,2.8391,NaN,2.3355,39.867,NaN,0.3,1653,30.58,39.732,29.957,8.4422,40.588,34.926,34.917,10.705,6.8011,12.867,NaN,5.2783,NaN,NaN,1.4424,0.0010617,0.83271,-0.00065416,0.0013954,0.0066612,-0.00016182,0.00039572,0.0088141,0.00042,0.00099383,-0.0016948,-0.0012468,0.0021918,0.0039992,0.006732,0.049563,-0.0010811,-0.002489,0.0049996,-0.0031962,0.00277,4.7397e-05,0.011566,-0.0009346,1.5618,0.0010652,0.0089598,0.42308,0.012876,0.031087,-1.0821e-05,-1.068e-05,NaN,-1.7386,-1.7396,NaN,-0.29908,1.9007,NaN,1.4214,1.2959,NaN,6.7452,5.5088,-2.6589,NaN,-3.7714,7.834,1.6833,2.3033,2.5967,3.0133,3.98,NaN,0.1534,0.09,1.1267,NaN,0.29,0.71,1.68,0.59,1.6969,NaN,0.78044,5.1279,4.0319,2.0602,0.46854,1.1477,4.5865,NaN,1.1477,NaN,4.998,5.5725,0.28677,4.9364,530.86,4.8716,5.4143,5.3075,NaN,NaN,NaN,NaN,NaN,NaN,-0.75914,0.57801,0.97233,15.084,99.2,NaN,0.1,0.2,NaN,NaN,13.707,5.0547,11.887,1.0333,0.2,0.021718,0.022008,0.2833,0.62,2.2167,2.7533,0.027693,-0.00044915,0.004342,0.0076594,-4.889e-05,0.0029542,0.0034798,-0.0013712,0.003334,0.0031596,0.0032841,-0.0029475,0.014158,0.015634,0.033456,0.0378,-29.932,2.5816,-0.0275,-0.0013,0.04,1.21,67.727,19.661,24.064,14.641,4.394,NaN,NaN,6.8967,0.0087,2.5974,3.1334,7.1,8.8889,2.8516e+05,4.9176,4.1768,9,1.798,5.1002,4.3118,-0.0168,11.35
7.7685,7.9658,18.934,7.0422,5.3925,6.5641,12.446,23.371,11.994,13.379,1,8.6753,7.7,13.713,10.609,6.469,9.401,7.7243,8.4321,7.7159,NaN,13.787,13.605,12.02,15.642,16.019,18.286,20.66,37.953,9.1924,11.647,8.6499,NaN,80.641,3.247,3.3785,4.4791,2.6488,4.3827,5.558,2.9729,5.659,5.0928,2.4556,2.5068,4.0763,2.6413,4.9966,-2.7492,1.3635,2.5637,1.9125,1.0991,2.707,1.0685,3.0011,1.8212,-0.2,6.2,-0.38544,-0.19223,-1.4,-0.6,-0.3667,-12.61,-31.72,-71.033,-64.939,NaN,NaN,NaN,NaN,-33.208,3.8943,NaN,5.08,40.467,NaN,0.2334,1816,8.64,37.185,11.335,24.77,-13.25,2.9324,20.909,9.8532,10.987,19.004,NaN,4.1041,NaN,NaN,0.43171,-0.001944,0.92584,0.00028612,0.00073999,-0.0042301,-0.005792,-0.0005999,-0.0036985,-0.00028035,-0.014028,-0.00029919,-0.00035882,0.00010089,0.00077611,-0.0050365,-0.02847,0.00096106,-0.0018901,0.0024872,-0.0021034,-0.00064959,0.00084094,-0.0005671,0.0015887,0.57794,-0.0010895,0.0010015,0.42263,-0.00099452,-0.0047524,0.0043933,0.0032733,NaN,-0.96238,-0.96214,NaN,4.7466,3.2371,NaN,2.3018,3.984,NaN,3.3534,3.8176,0.74905,NaN,-0.48061,1.3652,2.4,2.46,2.7467,3.1,3.9733,NaN,-0.0267,0.0066,1.14,NaN,0.29,0.64,1.51,0.6,4.8508,NaN,3.0235,6.4089,6.6894,4.9381,2.8502,6.1356,3.9014,NaN,6.1356,NaN,9.2595,10.948,3.2237,9.0782,532.66,10.367,5.5859,11.485,NaN,NaN,NaN,NaN,NaN,NaN,0.37049,-0.019334,1.7812,1.6243,93,NaN,0,0,NaN,NaN,14.275,9.0303,7.8291,-0.5667,0.4334,0.01792,0.014868,-0.0567,0.06,1.4433,2.01,-0.0033866,-0.039922,-0.0036178,-0.014356,-0.0014953,-0.003937,-0.0061241,0.0040399,-0.0022299,-0.0031596,-0.0032841,0.0056317,-0.0035462,0.0024978,-0.0030929,0.0708,-36.862,4.3312,-0.0345,-0.0003,0.16,0.66,-1.0485,-1.1644,7.5712,33.251,-84.33,NaN,NaN,13.447,0.0089,2.5807,-0.12978,-20.15,-1.0313,2.8183e+05,3.7393,4.6297,3.64,3.6704,20.096,18.856,-0.0763,27.092
