-0.77038,2.0606,3.58,78.557,8.6025,5.4404,2.2781,4.1366,-16.705,5.3,7.3172,-1.1994,2.3877,-1.9277,2.8369,0,4.5,-0.88923,-26.705,0.044844,55,53.1,1.6682,1.5537
1.5703,2.4179,3.99,-24.511,-6.5902,1.3486,5.5904,0.45221,1.9095,5.6,7.2841,-2.4096,2.1667,3.8462,-3.4067,0,4.58,-0.83045,12.81,1.4994,52.8,54.6,1.0794,-2.1892
8.8139,0.36755,3.93,-58.641,-11.088,2.1484,6.1852,3.8126,23.418,5.1,7.213,2.4096,0.52836,9.4567,-1.142,0,4.49,0.072121,38.316,5.1195,53.9,56.7,10.853,-2.9042
-1.52,2.3877,3.7,-167.87,-0.85485,3.2011,4.7665,5.0206,-8.7741,5.2,7.146,3.5875,2.0836,0,-0.85868,0,4.26,0.44096,-39.134,0.94715,44.1,49,-7.7188,-0.73462
0.99517,0.22987,2.94,-217.84,-2.5038,7.1101,2.4563,-1.6031,-6.6328,5.5,7.1009,1.1887,1.5272,0,3.7077,0,3.83,0.62639,-1.0188,-2.0292,45.6,50.6,0.98223,-1.0078
-4.8715,2.5602,2.3,-346.17,-2.9531,5.7014,1.4103,0.52805,-9.7599,6.3,7.0775,2.3669,1.7933,3.721,-0.28399,0,3.89,0.052135,-46.964,-2.3508,44.9,48.6,-2.8304,-1.1866
2.7104,0.8051,2,-131.4,45.721,6.8879,4.2012,-0.12667,-6.1033,6.8,7.1229,0,0.74671,1.8476,1.9837,0,3.79,-1.3623,10.249,-2.3498,45.5,50.4,4.4825,11.244
7.3667,-0.13407,1.73,-89.257,24.693,7.2684,5.717,5.9313,15.552,7,7.1381,-4.7478,-0.045216,3.6698,3.0975,0,3.79,-1.0438,27.088,1.2064,58.2,65.5,13.544,6.1847
6.6147,1.5658,1.68,-130.17,5.3595,6.7725,6.4481,1.9301,12.563,6.8,7.2145,0,1.4669,0,2.2378,0,3.98,0.98186,29.947,3.509,60.6,65.6,4.2743,0.97315
8.0258,0.57394,2.4,265.55,19.439,6.8999,7.8504,7.9535,13.788,6.2,7.2356,0,0.45027,9.0297,3.6099,0,3.97,1.7765,6.5651,3.2446,61.8,68.9,4.1829,4.7472
7.1405,1.5575,2.46,-88.269,-2.0566,8.1963,6.0494,4.2196,5.9308,5.6,7.216,2.381,1.7512,3.5556,2.4802,0,4.02,0.047439,21.006,2.9573,60.9,60.4,3.8421,-0.95195
