0.0064301,0.0094101,-0.0034229,0.014303,1.0341,-0.3,0.0061683,40,0.004662,-0.0030166,0.012233,-0.00024978,2.8,7.3902,0.025062,0.0012095,0.81,1.19,2.05,70.2
0.0064941,-0.0036395,0.019922,0.021077,1.5153,-0.4,0.0057742,40.2,0.0046404,0,-0.01833,0.0013047,2.96,7.3715,0.016599,0.0013501,0.76,1.16,1.9,66.9
0.0057631,0.012005,0.0067973,0.01495,0.9237,-0.1,0.0042855,40.3,0.0046189,0.0030075,0.012195,-0.0014307,2.9,7.3119,0.014949,-0.00071035,1.06,1.41,2.06,69.9
0.0031024,0.0037083,-5.1523e-05,0.0011444,-0.1473,-0.1,0.0024433,40.2,0,-0.006015,-0.0030627,0.0022926,3.39,7.3152,-0.0086641,-0.00071086,0.68,0.95,1.65,64.2
-0.00058921,-0.0034269,0.01211,-0.024238,-1.7888,0.1,0.0022887,39.9,0,-9.0725e-06,-0.012167,-0.00074908,3.47,7.3441,0.038913,-0.00028448,0.92,0.93,1.61,61.3
-0.0056366,0.0060033,-0.052446,-0.034465,-3.5122,0.1,-0.0087363,40,0,-9.1274e-06,-8.4172e-05,-0.00068269,3.5,7.2654,-0.0057076,-0.00078275,0.92,0.93,1.59,54.4
0.00072136,0.010018,0.014619,-0.0012091,-0.4187,0.3,0.0017234,40,0,0.015074,0.024531,0.0012291,3.76,7.3395,-0.040366,-0.0020666,1.24,0.92,1.42,43.7
0.0012801,-0.0068351,0.0015992,-0.0072902,-0.8952,0.2,-0.001311,39.6,0,-0.021071,-0.006237,-0.00025246,3.98,7.2116,-0.00087681,0.00092692,0.82,0.55,1.3,50
0.0075948,-0.00044618,-0.036722,0.0060751,0.3514,0.1,0.0051593,39.6,0,0.0059969,0.011788,-0.0017829,4,7.2556,0.004027,-0.0012837,0.81,0.53,1.26,51.1
0.010195,-0.0011163,0.049659,0.059983,5.0631,-0.5,0.010018,40,0.01373,0.0030257,-0.026782,0.00055115,3.99,7.3784,0.031476,-0.0015354,1.15,0.7,1.29,62.8
0.0031941,0.0027885,0.016956,0.025917,1.9934,-0.1,0.0018442,40.1,0.0090498,0.0030257,0.020645,-0.0017162,3.99,7.2862,-0.017594,0.00050016,1.04,0.73,1.35,65.4
0.0011425,0.0043345,0.014371,-0.008937,-0.9508,-0.4,0.0043939,39.7,0.0044944,-0.0030257,-0.011808,0.001593,3.97,7.3152,-0.039545,0.0012493,0.69,0.52,1.37,52.5
0.0019088,0.014041,-0.028026,-0.0090175,-1.3687,0.6,-0.0010829,39.5,0.0044743,0.0090226,-0.0058394,-0.00049056,3.84,7.0112,-0.013719,0.00092705,0.18,0.41,1.41,52.2
0.0034187,0.015355,0.0098265,-0.0079624,-0.9828,-0.2,0.0065711,39.8,-0.0044743,-0.0090226,-8.5497e-06,0.0031143,3.92,7.1616,0.012822,0.0012822,0.12,0.36,1.28,52
0.0024005,-0.020343,-0.031531,-0.0011415,-0.7882,-0.1,-0.0061855,39.6,0.0044743,0,0.0029283,-0.0026292,3.85,7.1476,-0.0091934,-0.0012465,0.36,0.5,1.43,45.8
0.00078854,-0.00021983,0.0085858,-0.012651,-1.2475,0.3,-0.0023341,39.5,0,0,0.0029283,-0.00060975,3.32,7.1285,0.036277,-0.0011767,0.04,0.83,1.94,49.2
0.001829,0.0020316,-0.0068563,-0.003476,-0.4961,0.1,-0.0007731,39.6,0.0044544,0.0029895,-0.0029283,0.0013379,3.23,7.0876,-0.025112,0.0020317,-0.03,0.67,1.99,45.7
-0.0016273,-0.00098782,-0.0012458,-0.0011657,-0.677,0.1,-0.00062628,39.4,0.0044346,-0.0059791,0,-6.3781e-05,2.98,7.2034,0.011927,0.00064073,-0.03,0.82,2.1,55.6
0.001273,0.0047654,0.016061,-0.010518,-1.1318,-0.1,-0.0008295,39.1,0,0.0029895,0,-0.0010938,2.6,7.0003,-0.030545,0.00088922,0.47,1.2,2.41,50.5
0.0029514,0.0048516,-0.019054,-0.001175,-0.39,0.6,-0.0015687,39.4,0.004415,0.0089419,0.0029197,0.00054491,2.47,7.1277,-0.019901,-0.00039116,0.57,1.42,2.64,50.1
